Ensg	CD-coefficient	Significance
ENSMUSG00000021133	0.0069269013589559865	0.03652392535958374
ENSMUSG00000000056	0.006753314979585956	-3.8741110251902104e-05
ENSMUSG00000057465	0.006623003630184341	0.02049702871926129
ENSMUSG00000074264	0.006601462339766969	0.02421327438700116
ENSMUSG00000086503	0.006228623926391357	0.0190924285813856
ENSMUSG00000039196	0.006217535241432933	-0.0012242123919620207
ENSMUSG00000025004	0.005842527112512826	0.0256489582267187
ENSMUSG00000025950	0.005833186450072682	0.019648484953690093
ENSMUSG00000037400	0.005816500609450978	-0.004561244369001571
ENSMUSG00000026072	0.005663344231072549	0.018735707005659186
ENSMUSG00000030852	0.005661529664375404	-0.0075439685706216175
ENSMUSG00000051748	0.005646543336876171	0.015912245826085414
ENSMUSG00000032271	0.005633642237448616	-0.008854386574433437
ENSMUSG00000031431	0.005558737990455465	-0.008291277132729147
ENSMUSG00000038301	0.005401454479754274	-0.003015956996881508
ENSMUSG00000019866	0.005330614493485196	0.03236648433465418
ENSMUSG00000056313	0.005285296777489673	0.01973257440951781
ENSMUSG00000022708	0.005282294552572844	0.034726388781370826
ENSMUSG00000015112	0.005277901743213016	0.025357572503224124
ENSMUSG00000092075	0.00517796598084795	0.015555570715733547
ENSMUSG00000052656	0.0051040714022241255	0.016736752489393214
ENSMUSG00000037936	0.005082876956057635	-0.003784426534123253
ENSMUSG00000033174	0.00506079621655897	-0.008595947410227123
ENSMUSG00000024899	0.005010692917788157	0.02654231032372531
ENSMUSG00000034858	0.004886221971361381	-0.007459588516206428
ENSMUSG00000014353	0.004778592811339171	0.024271120605751484
ENSMUSG00000049550	0.004776673543189522	0.013496945466124899
ENSMUSG00000043067	0.004734063879556847	0.005815363223413694
ENSMUSG00000091144	0.0047232196825149455	0.016163927850075366
ENSMUSG00000105987	0.004646670227670984	0.0005251274946674878
ENSMUSG00000030042	0.004617663288639245	-0.005507045127941368
ENSMUSG00000025509	0.004530907722808237	0.022076874824590142
ENSMUSG00000021215	0.004500900001001223	0.03664957731769275
ENSMUSG00000064368	0.004490158848120991	0.02365365642592987
ENSMUSG00000024190	0.004485733055096149	0.030560255410808368
ENSMUSG00000038582	0.004475789987089149	-0.0024273548414518453
ENSMUSG00000004535	0.004459567218778835	0.013098650766722779
ENSMUSG00000031613	0.004437128392774003	-0.008507644934046876
ENSMUSG00000049044	0.004435454875029145	0.012965943602932573
ENSMUSG00000059325	0.004418143644542925	0.021485499367229655
ENSMUSG00000028410	0.004399397392310053	0.001971246150312689
ENSMUSG00000039100	0.004388296927872325	-0.0014389123096281153
ENSMUSG00000061536	0.004371696700959862	0.022502142396710223
ENSMUSG00000040181	0.004368066403190146	0.0005860217151614222
ENSMUSG00000022946	0.004360531071660138	0.03374944728310603
ENSMUSG00000042213	0.004325854762481872	0.004291289598005066
ENSMUSG00000056209	0.004253324368521943	0.019660965146308107
